Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Nach einem Schulausflug, wird in der Klasse über das Thema ehrenamtliche Arbeit diskutiert.|N|EIN|AHG||||
1|In diesem Beitrag werde ich beide Positionen gegenüberstellen.|N|EIN|GLD||||
2|Ehrenamtliche arbeit gibt es in vielen Bereichen, dabei leistet man Arbeit ohne dafür bezahlt zu werden.|N|EIN|WHG||||
3|Häufig gibt es Ehrenämter an Stellen, wo Personal fehlt oder Firmen nicht die kapazitäten für Festanstellungen haben. Zb. Feuerwehr, tierheime, Vereine.|N|EIN|WHG||||
4|Man sollte kein Ehrenamt ausführen.|J|HAU|TH2||||
5|Die eine seite sagt andere werden für diese Arbeit bezahlt,|N|HAU|CON||||
6|da will man diese doch nicht umsonst machen.|N|HAU|CON||||
7|Jobs die Ehrenamtlich sind, sind haüfig sher anstrengend.|N|HAU|CON||||
8|Ein gutes Argument ist die Sache mit der Körperlichen Anstregung.|N|HAU|CON||||
9|Bei der Feuerwehr kann sogar lebensgefahr bestehen|N|HAU|CON||||
10|und man bekommt keine entschädigung dafür das man sein Leben auf sich nimmt.|N|HAU|CON||||
11|Des weiteren müssen oftmals sogar noch Beiträge bezahlt werden (mehr Geld gegben als bekommen).|N|HAU|CON||||
12|das geht damit einher, das die Stellen meistens finanziell schwach aufgestellt sind|N|HAU|CON||||
13|und eben nur durch spenden, Mitgliedsbeiträge und Ehrenämter funktionieren.|N|HAU|CON||||
14|Die andere Partei sieht das ganze so:|N|HAU|TH1||||
15|Ehrenamtliche Arbeit ist toll um Menschen und Berufsfelder zu unterstützen.|N|HAU|PRO||||
16|Man kann erfahrung in bestimmten Tätigkeitsbereichen sammeln.|N|HAU|PRO||||
17|Wenn man später einen bestimmten Job machen will. Kann man durch eine Tätigkeit im ehrenamt schon einmal erfahrung sammeln|N|HAU|PRO||||
18|und schauen ob das überhaupt etwas für einen ist.|N|HAU|PRO||||
19|In vielen Berufsfeldern fehlen zudem einfach Arbeitskräfte.|N|HAU|PRO||||
20|Damit es nicht zur knappheit und auch im eigenen Umfeld alles gut ist, wird Unterstützung gebraucht.|N|HAU|PRO||||
21|Bsp. Feuerwehr, es gibt nicht die Kapazitäten in jedem Ort Feuerwehrwachen mit Festangestellten zu errichten.|N|HAU|PRO||||
22|Letzteres tut man einfach was gutes.|N|HAU|PRO||||
23|Man Unterstützt beispielsweise vereine die ohne Ehrenämter nicht bestehen könnten,|N|HAU|PRO||||
24|da die Kapazitäten nicht da sind.|N|HAU|PRO||||
25|Abschließend kan man sagen das ehrenämter wirklich gebraucht werden damit verschiedene Dinge einfach eine Chance haben, bestehen zu bleiben.|N|HAU|PRO||||
26|Ich bin deshalb für ehrenamtliche arbeit.|N|SCH|ZTH||||
27|Meine empfehlung ist, da diese Arbeit frewillig ist, sie nur zu machen wenn manauch wirklich möchte.|N|SCH|SON||||
