Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||FAST|ABW
0|Fast Food oder selbst kochen?|N|EIN|GLD||||
1|In der Schule führen wir gerade ein projekt über Ernährung durch.|N|EIN|AHG||||
2|Und ich habe mich entscheiden darüber zu schreiben ob Fast Food oder gesundes, gekochtes Essen besser ist.|N|EIN|GLD||||
3|Es gibt viele verschiedene Arten sich zu ernähren.|N|EIN|WHG||||
4|Die 2 beliebtesten Arten sind eimal die, die sich gesund ernähren und auf ihren Körper rücksicht nehmen wollen und sich täglich an den Herd oder so stellen und extra etwas für sich zu kochen und dann gibt es die, die faul sind, denen es egal ist wie ihr Körper das verträgt und sich einfach eine Pizza aus dem Tiefkühler holen und es in den ofen schmeißen, weil sie keine Lust haben zu kochen.|N|EIN|WHG||||
5|Fast Food ist einfach besser als gekochtes essen,|N|HAU|TH1||||
6|denn es geht schneller|N|HAU|PRO||||
7|und einfacher zu machen.|N|HAU|PRO||||
8|Man kann sich einfach so eine Tiefkühlpizza aus dem Froster holen, in den ofen schmeißen und 10 min warten bis sie fertig ist.|N|HAU|PRO||||
9|Beim Kochen müsste man sich extra ganz viele Zutaten besorgen und das kochen dauert ja auch nochmal länger als 10 min.|N|HAU|PRO||||
10|Und nach dem kochen muss man auch noch alles Abwaschen und aufräumen, was man fürs Kochen benutzt hat.|N|HAU|PRO||||
11|das zweite ist, dass man es fast überall draußen finden kann|N|HAU|PRO||||
12|und man hat es auch immer Zuhause griffbereit. wie zum Beispiel Mc´s, Kfc oder auch mal ganz einfach zu Hause in dem Tiefkühler.|N|HAU|PRO||||
13|Und noch zum Schluss ist in fast Food noch schnelle Nährstoffversorgung vorhanden,|N|HAU|PRO||||
14|denn darin enthalten sich Kohlenhydrate, die schnelle Energie liefern.|N|HAU|PRO||||
15|Selberkochen ist besser als Fast Food.|J|HAU|TH2||||
16|Das schlimme aber von Fast Food ist, dass es sehr ungesund ist.|N|HAU|CON||||
17|denn Da Fastfood sehr viel Fett und salze enthält ist|N|HAU|CON||||
18|ist es sehr ungesund für den Körper|N|HAU|CON||||
19|und es ist auch sehr kalorienhaltig.|N|HAU|CON||||
20|Fastfood besitzt auch nicht so viele Vitamine wie zum Beispiel ein salat.|N|HAU|CON||||
21|Und Vitamine sind sehr wichtig für den Körper.|N|HAU|CON||||
22|und deswegen ist gekochtes (gesundes essen) besser für den Körper.|N|HAU|CON||||
23|Und das schlimmste ist, dass Da fastfood viel Zucker, Salze und Fette enthält|N|HAU|CON||||
24|besteht für die Leute immer viel fastfood essen ein höheres Risiko Diabetes zu bekommen als die die sich gesund ernähren.|N|HAU|CON||||
25|Ich finde Fast food an sich viel besser als gekochtes essen,|N|SCH|ZTH||||
26|weil es einfach viel besser schmeckt|N|SCH|PRO||||
27|und es viel zeitsparender ist.|N|SCH|PRO||||
28|Denn wenn ich jedesmal kochen müsste fände ich das viel zu anstrengend und ich bin auch sehr faul.|N|SCH|PRO||||
29|Natürlich ist das andere viel gesunder für den Körper|N|SCH|CON||||
30|und es besteht bei dem anderen auch nicht so ein hohes Risiko auf Diabetes|N|SCH|CON||||
31|aber es schmeckt halt viel besser.|N|SCH|PRO||||
32|Und da ich einen guten Stoffwechsel habe werde ich von dem ganzen eh nicht dick.|N|SCH|PRO||||
33|Ich empfehle allen sich mehr gesundes essen zu kochen, anstatt sehr häufig Fastfood zu essen.|N|SCH|SON||||
34|Denn Vitamine sind sehr wichtig für den Körper und das Immunsystem und das ist zum Beispiel sehr gering in Fastfood enthalten.|N|SCH|CON||||
35|Und da Fastfood ein höheres Risiko auf Diabetes enthält würde ich es nicht so empfeheln Fastfood als Dauermahlzeit anzusehen.|N|SCH|CON||||
36|Man sollte viel gesundes essen aber ab und zu kann man sich ja auch mal sowas gönnen.|N|SCH|PRO||||
