Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|UEN
0|In diesem Artikel der Schülerzeitung möchte ich mich mit dem Thema der Ehrenamtarbeit auseinandersetzen.|N|EIN|GLD||||
1|Oft wird diskutiert ob es sich lohnt ehrenamtlich zu arbeiten, manche sind stolz darauf diese Arbeit zu machen und andere fragen sich wieso sie diese Arbeit machen sollen, wenn sie nicht mal bezahlt werden.|N|EIN|GLD||||
2|Mit diesen beiden Themen möchte ich mich beschäftigen und die Seiten gegenüber stellen.|N|EIN|GLD||||
3|Ich werde mit der Seite, wieso man ehrenamtlich arbeiten sollte, beginnen.|N|HAU|TH1||||
4|Menschen und Schüler, die neben ihrer normalen Arbeit noch ehrenamtlich arbeiten. Machen es meistens nicht nur halbherzig, sondern sie sind komplett bei der Sache dabei|N|HAU|PRO||||
5|und versuchen meistens auch Freunde bzw. andere Bekannte hineinzukommen und zu helfen.|N|HAU|PRO||||
6|Diese Menschen verrichten wichtige Arbeit,|N|HAU|PRO||||
7|die manche andere nicht machen würden.|N|HAU|PRO||||
8|Es ist ungefähr wie ein Hobby,|N|HAU|PRO||||
9|welches eine wichtige Bedeutung hat.|N|HAU|PRO||||
10|Es ist eine Sache auf die sie stolz sein können|N|HAU|PRO||||
11|und die andere Menschen unterstützen sollten.|N|HAU|PRO||||
12|Ihnen geht es dabei nicht nur um das gute Gewissen,|N|HAU|PRO||||
13|sondern etwas für die Gesellschaft zu leisten|N|HAU|PRO||||
14|und die Welt ein Stück besser zu machen.|N|HAU|PRO||||
15|Man muss auserdem bedenken, dass diese Menschen auch wichtige Dinge machen, wie z.B. der Naturschutz oder die Kinderbetreuung.|N|HAU|PRO||||
16|Nur dass sie unterstützen ohne bezahlt zu werden.|N|HAU|PRO||||
17|So kommen wir nun auf die andere Seite, nämlich dass man ehrenamtliche Arbeit nicht machen sollte.|N|HAU|TH2||||
18|Besonders ausschlaggebend ist natürlich die Sache mit dem Geld,|N|HAU|CON||||
19|denn man würde arbeiten ohne bezahlt zu werden.|N|HAU|CON||||
20|Für manche Menschen ist es unverständlich, wie jemand so etwas machen würde.|N|HAU|CON||||
21|Andere Menschen möchten vielleicht helfen,|N|HAU|PRO||||
22|finden aber die Zeit dafür nicht.|N|HAU|CON||||
23|Sie haben einfach in dem normalem Alltag keine Zeit dafür,|N|HAU|CON||||
24|weil sie eventuell lange arbeiten|N|HAU|CON||||
25|oder andere wichtige Dinge zu tun haben.|N|HAU|CON||||
26|Zudem trägt man eine gewisse Verantwortung,|N|HAU|CON||||
27|beosnders in den Bereichen wie Feuerwehr, Polizei oder Gesundheitswesen könnte es teilweise nicht so schön sein, wenn man kleine Sachen falsch macht.|N|HAU|CON||||
28|Es nochmal ein zusätzlicher  Balast für jeden der ehrenamtlich arbeitet.|N|HAU|CON||||
29|Ich finde, dass Menschen die ehrenamtlich arbeiten wertgeschätzt und unterstüzt werden sollten.|N|SCH|SON||||
30|Die anderen, die diese Arbeit nicht so mögen, wo ich auch dazu gehöre, sollten froh sein, dass andere ehrenamtlich arbeiten und helfen.|N|SCH|PRO||||
31|Mein Fazit ist, dass die ehrenamtlich arbeitenden Menschen, eine gute Sache machen, die unterstüzt werden sollte.|N|SCH|PRO||||
32|Sie stecken ihre Freizeit und Hilfe in wichtige Dinge und helfen so der Gesellschaft.|N|SCH|PRO||||
33|Allerdings wenn man nicht ehrenamtlich arbeiten möchte, ist dies auch nicht schlimm.|N|SCH|CON||||
34|Manche haben einfach die Zeit nicht und möchten doch etwas Geld dafür haben ihre Freizeit da reinzustecken.|N|SCH|SON||||
35|Menschen, ehrenamlich arbeiten wollen, sollen es machen.|N|SCH|ZTH||||
36|Menschen die es nicht machen wollen, sollten die wertschätzen, die es machen.|N|SCH|ZTH||||
