Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|UEN
0|Bei meinem letzten Wandertag habe ich einen Einsatz der freiwilligen Feuerwehr beobachtet.|N|EIN|AHG||||
1|Diese arbeiten unentgeldlich.|N|EIN|WHG||||
2|Nicht nur bei der Feuerwehr, sondern auch im Sport, im Gesundheitswesen, im Naturschutz oder bei der Kinderbetreuung sind Menschen ehrenamtlich tätig.|N|EIN|WHG||||
3|Da sie diese Arbeit in ihrer Freizeit und ohne Bezahlung leisten|N|EIN|WHG||||
4|hat meine Klasse über dieses Thema kontrovers diskutiert.|N|EIN|AHG||||
5|Menschen sind in so vielen Situationen ehrenamtlich tätig aber ohne Bezahlung macht das denn berhaupt Sinn?|N|HAU|TH1||||
6|Die meisten Menschen arbeiten ehrenamtlich weil sie damit etwas für die anderen Menschen und für die Geselschaft machen möchten|N|HAU|PRO||||
7|zum Beispiel die freiwillige Feuerwehr sie Hilft der richtigen Feuerwehr in ihrer Freizeit damit Brände schneller gelöscht werden können.|N|HAU|PRO||||
8|Es gibt auch Menschen denen es Spaß macht auf Kinder aufzupassen|N|HAU|PRO||||
9|zum Beispiel ind der freiwilligen Kinderbetreuung haben sie es jährlich mit dutzenden Kinder zutun und es macht ihnen trotzdem Spaß.|N|HAU|PRO||||
10|Es macht sehr viel Spaß anderen zu Helfen|N|HAU|PRO||||
11|aber es ist auch sehr gefährlich.|N|HAU|CON||||
12|Man sollte kein Ehrenamt ausführen.|J|HAU|TH2||||
13|Es ist sehr gefährlich|N|HAU|CON||||
14|zum Beispiel werden jährlich ca. 4.507 Arbeitsunfälle bei der freiwilligen Feuerwehr gemeldet.|N|HAU|CON||||
15|Es ist auch sehr stressig|N|HAU|CON||||
16|zum Beispiel bei der freiwilligen Kinderbetreuung sie arbeiten denn ganzen Tag mit vieleicht auch nervigen Kinder|N|HAU|CON||||
17|und das ohne Bezahlung.|N|HAU|CON||||
18|Mein Fazit und gleichzeitig auch meine Meinung ist das jeder das machen sollte was einem Spaß macht.|N|SCH|ZTH||||
