Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||FAST|ABW
0|Vor- und Nachteile zu einer gesünderen Ernährung.|N|EIN|GLD||||
1|"Eine Diskusion über die Frage ""fast food oder selber kochen?""."|N|EIN|GLD||||
2|Sollte man eher aufwändiges Essen für teure kosten lang zubereiten oder zu stets einfacheren Methoden wie der Tiefkühlpizza greifen, die aber nicht gerade die Nährstoffe abdekt, die ein jener braucht.|N|EIN|GLD||||
3|Auf der einen Seite haben wir diejenigen die sich für das selber kochen einstezen und auf der anderen seite diejenigen die fast Food beführworten.|N|EIN|GLD||||
4|These 1:|N|HAU|GLD||||
5|Gesundes Essen ist pure Verschwändung von Zeit, Geld und Aufwand!|N|HAU|TH2||||
6|Für das fast Food spricht natürlich das Fast Food keinen großen Aufwand benötigt|N|HAU|CON||||
7|und man sich um einiges Zeit spart.|N|HAU|CON||||
8|Zeit die z.B Studenten nicht haben|N|HAU|CON||||
9|und Aufwand den nicht jeder um 23:00 Uhr betreiben möchte.|N|HAU|CON||||
10|Noch dazu kommte das Fast Food einige Glücksgefühle auslösen kann.|N|HAU|CON||||
11|"Die Mehrheit aller wird bei denen wohl ich ""nein"" sagen."|N|HAU|CON||||
12|Auch ist klar das Fast Food viel billiger ist.|N|HAU|CON||||
13|Es gibt so viele Armutsprobleme auf dieser Welt|N|HAU|CON||||
14|und so viele Menschen die nicht die Mittel haben sich aufwändiges Essen leisten können.|N|HAU|CON||||
15|Fast Food ist eine Alternative die sich definitiv jeder leisten kann.|N|HAU|CON||||
16|Bekannt ist bei wohl auch jedem das Fast Food einfach immer|N|HAU|CON||||
17|und jedem schmeckt.|N|HAU|CON||||
18|Die meßten Teenager betteln nur so darum heute Abend zu Mc Donalds zu fahren um sich einen leckeren Burger zu holen|N|HAU|CON||||
19|und so geht es wohl den meißten auf diesem Planeten.|N|HAU|CON||||
20|Die meißten sind wohl der Meinung, dass Junk Food eindeutig immer geht|N|HAU|CON||||
21|und immer gut schmeckt.|N|HAU|CON||||
22|Auf der anderen Seite stehen die Argumente gegen Fast Food,|N|HAU|TH1||||
23|eine seite sollte die man nicht außer Acht lassen sollte.|N|HAU|SON||||
24|These 2:|N|HAU|GLD||||
25|Fast Food macht dick|N|HAU|PRO||||
26|und ist nur eine Trick deines körpers um dich für den Moment des essens glücklich zu machen.|N|HAU|PRO||||
27|Fast Food besteht aus kaum Nährstoffen, mit dem dein Körper etwas anfangen kann.|N|HAU|PRO||||
28|du wirst mit der Zeit nur unglücklicher,|N|HAU|PRO||||
29|da das essen nicht nur erkennbare auswirkungen auf deinen körper haben wird,|N|HAU|PRO||||
30|sondern sich auch deine Laune wohl eher verschlechtern wird.|N|HAU|PRO||||
31|Es fehlt dir an einigen Vitaminen und Mineralien um dich und deinen körper mit dem zu versorgen was er stehts brauchen.|N|HAU|PRO||||
32|Fast Food fördert bei den meißten Personen Fressattacken, mit darauffolgendem schlechtem Gewissen.|N|HAU|PRO||||
33|"Die Aussage ""Fast food macht glücklich, ist in dem sinne also nicht komplett falsch,"|N|HAU|CON||||
34|nur falsch dargestellt.|N|HAU|CON||||
35|Fast Food kann für den moment des essens recht glücklich machen,|N|HAU|CON||||
36|nur wird dieses glücksgefühl nicht lange anhalten.|N|HAU|PRO||||
37|Besonders ausgeprägt ist dieses Merkmal bei Menschen die sowieso schon Probleme mit sich selbst und ihrem Gewicht haben.|N|HAU|PRO||||
38|Man sollte selber kochen.|J|SCH|ZTH||||
39|Gesundes essen mag vielleicht mehr Aufwand, Zeit und auch Geld benötigen,|N|SCH|CON||||
40|wirkt sich aber auch deutlich besser im Ganzeffekt auf dich und deinen Körper aus.|N|SCH|PRO||||
41|"Wichtig ist dabei auch das ""auf dich"", den viele wissen es vielleicht nicht aber gesünderes Esssen kann auch deine Mentale Gesundheit, deutlich ins positive fördern."|N|SCH|PRO||||
42|Auch ist das gesunde Ernähren ein Merkmal einer person was die attraktivität jener für andere steigert.|N|SCH|PRO||||
