Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|Soll das Fach Darstellendes Spiel als reguleres Fach in der 7. Klasse eingeführt werden?|N|EIN|GLD||||
1|Das Fach Darstellendes Spiel behinhaltet das Schauspielern, sowie die interpretation in verschiedenen Rollen auf der Bühne.|N|EIN|WHG||||
2|Dennoch gibt es Meinungsverschiedenheiten ob dieses FAch als Verpflichtendes Fach für den Jahrgang 7 eingeführt werden sollte.|N|EIN|WHG||||
3|Darstellendes Spiel sollte verpflichtend eingeführt werden.|J|HAU|TH1||||
4|Die Entwicklung wird durch das Ach mehr gefördert.|N|HAU|PRO||||
5|Durch das Schauspielern vor einer Klasse lernen die SchülerInnen vor mehreren Leuten zu reden|N|HAU|PRO||||
6|und Entwickeln eine eigene Vortragsweise.|N|HAU|PRO||||
7|Sie lernen mit der Aufregung und dem Druck umzugehen.|N|HAU|PRO||||
8|Indem sie diesen Vorgang jede Woche wiederholen und neue Aufgaben bekommen.|N|HAU|PRO||||
9|Ein Mädchen was vorher in einem Angstzustand vor einem Vortrag war, lernt in diesem FAch mit ihrer Nervosität umzugehen.|N|HAU|PRO||||
10|Die Vortragsweise wird in diesem FAch geübt,|N|HAU|PRO||||
11|was eine gute Vorbewreitung für das weitrere Leben darstellt.|N|HAU|PRO||||
12|Hier werden die Mimik und Gestik eine große Rolle spielen.|N|HAU|PRO||||
13|Man wird unterschiedliche Rollen bekommen an die man sicch anpassen muss.|N|HAU|PRO||||
14|Für eine Zukünftige Bewerbung an seiner Traum Uni ider seinem Traum Job, wird die Vortragsweise ebntscheident sein.|N|HAU|PRO||||
15|Die SchülerInnen werden so auf die 11. Klasse vorbereitet.|N|HAU|PRO||||
16|Wenn sie im 7. Jahrgang auf die Oberstufe vorbereitet werden, haben sie bessere Vorraussetzungen diesen Kurz in der Sek2 besser zu meistern.|N|HAU|PRO||||
17|Daqsheißt die SchülerInnen können ihre Prioritäten auf die anderen Fächer richten,m|N|HAU|PRO||||
18|weil sie mit dem DArstellenden Spiel schon vertraut sind.|N|HAU|PRO||||
19|Darstellendes Spiel sollte nicht verpflichtend eingeführt werden.|J|HAU|TH2||||
20|"Die SchülerInnen können den Unrerricht als ""Sinnlos"" ansehen"|N|HAU|CON||||
21|und das Darstellende Spiek wird nichtmehr ewrnst genommen.|N|HAU|CON||||
22|Das Fach könnte als Lächerlich abgestempelt werden|N|HAU|CON||||
23|und so wäre es eine Zeitverschwendung für alle.|N|HAU|CON||||
24|Viele von den SchülerInnen werden sich nicht wohl beim Schauspielern und oder auf der Bühne fühlen.|N|HAU|CON||||
25|Sie können sich persönnlich angegrifffen fühlen bei einer schlechten Punkte Wertung|N|HAU|CON||||
26|und können Angst vor dem Fach entwickeln.|N|HAU|CON||||
27|Die SchülerInnen werden moral den Auftritt auf der Bühne verweigern|N|HAU|CON||||
28|und sich von der beteilung des Unterrichtes zurückziehen.|N|HAU|CON||||
29|Das Fach wird weitere Stunden in anspruch nehmen.|N|HAU|CON||||
30|Die SchühlerInnen haben jetzt ein noch höheres Pensum|N|HAU|CON||||
31|was bedeutet das sie eine noch höhere Stundenanzahl in der Schule verbringen.|N|HAU|CON||||
32|Dadurch könnte das Fch als überflüssig gelten.|N|HAU|CON||||
33|Das Fach Darstellendes Spiel sollte meiner Meinung nach nur eine Stunde in der Woche beanspruchen.|N|SCH|ZTH||||
34|So wird die Vortragsweise weiter entwickelt|N|SCH|PRO||||
35|und es nimmt nicht an zu viekl Pensum an.|N|SCH|PRO||||
36|Es gibt unterschiedliche Argumente die für und gegen eine Einführung sprechen.|N|SCH|SON||||
37|Die Vortragsweise wird weiterentwickelt|N|SCH|PRO||||
38|dennoch wird es für mehrere SchülerInnen eine Überwindung und in gewissermaßen eine Angst vor dem FAch darstellen.|N|SCH|CON||||
