Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Meine Klasse hat bei unserem letzten Ausflug beobachtet wie die freiwillige Feuerwehr zum Einsatz kam.|N|EIN|AHG||||
1|Es gibt sehr viele verrschieden Breiche in denen die freiwillige arbeit benötigt wird.|N|EIN|WHG||||
2|Die leute arbeiten ehrenamtlich, also unentgeldlich.|N|EIN|WHG||||
3|Dies hat in meiner Klasse zu einer kontroversen Disskussion geführt.|N|EIN|AHG||||
4|Es gibt nicht besonders viele Personen, die in ihrer Freizeit und ohne bezahlt zu werden, arbeiten wollen.|N|EIN|WHG||||
5|Ich möchte in unserer Schule die Disskussion anregen, ob es sich lohnen würde ein Ehrenamt auszuüben.|N|EIN|GLD||||
6|Ich hoffe, ich kann damit auch ein paar Schüler motivieren ein Ehrenamt zu absolvieren.|N|EIN|SON||||
7|Man sollte kein ehrenamt ausüben.|N|HAU|TH2||||
8|Es ja offensichtlich, dass sich eine Ehrenamtliche Arbeit nicht lohnt, wenn man nur das Geld beachtet.|N|HAU|CON||||
9|Andere Leute werden für die selben Berufe bezahlt, die man auch Ehrenamtlich machen kann.|N|HAU|CON||||
10|Also lohnt es sich eher weniger, dies in seiner Freizeit zu tun.|N|HAU|CON||||
11|Ein weiteres überwiegendes Argument ist, dass man frewillige Arbeit in seiner Freizeit absolvieren müsste.|N|HAU|CON||||
12|Erwachsene müssten dies dann also nebenberuflich machen.|N|HAU|CON||||
13|Schüler hätten wahrscheinlich mehr Zeit dafür,|N|HAU|PRO||||
14|aber mit der Schule nebenbei wird es wahrscheinlich auch sehr stressig.|N|HAU|CON||||
15|Ich denke man hat dann zu wenig Freizeit, um seinen eigenen bedürfnissen hinterher zu gehen.|N|HAU|CON||||
16|Man sollte ein Ehrenamt ausüben.|N|HAU|TH1||||
17|Wenn man Menschen in Not helfen möchte und der gesellschaft etwas gutes tun möchte, sollte man ein Ehrenamt absolvieren.|N|HAU|PRO||||
18|Außerdem bekommt man ein gutes Gewissen, wenn man etwas Gutes tut.|N|HAU|PRO||||
19|Ein weiteres gutes Argument, für ein Ehrenamt ist, dass man bei einer freiwilligen Arbeit neue Leute kennenlernen kann, die die selben Interessen verfolgen.|N|HAU|PRO||||
20|Außerdem kann man dinge tun, die einem Spaß machen|N|HAU|PRO||||
21|und gleichzeitig anderen helfen.|N|HAU|PRO||||
22|Ich denke jeder der ein Ehrenamt durchführt, hat den größten respekt verdient.|N|HAU|PRO||||
23|"Man ,,opfert"" seine Freizeit um unbezahlt zu Arbeiten."|N|HAU|PRO||||
24|Ich bin sehr beeindruckt von Leuten, die in ihrer Freizeit freiwillige Arbeit absolvieren.|N|HAU|PRO||||
25|Meiner meinung nach sollten, mehr Leute ein ehrenamt ausüben.|N|SCH|ZTH||||
26|Egal in welchem Bereich, freiwillige Arbeit ist sehr wichtig für die Gesellschaft.|N|SCH|PRO||||
27|Andererseits kann ich auch verstehen, dass man wegen des eigenen Berufs nicht genügend Zeit für eine weitere Arbeit hat.|N|SCH|CON||||
28|Ich denke, vorallem junge Leute haben eigentlich genug Zeit in ihrer Freizeit um etwas wohltätiges zu absolvieren.|N|SCH|PRO||||
29|Ich bin sehr beeindruckt von Leuten, die in ihrer Freizeit freiwillige Arbeit absolvieren.|N|SCH|PRO||||
30|Meiner meinung nach sollten, mehr Leute ein ehrenamt ausüben.|N|SCH|ZTH||||
31|Egal in welchem Bereich, freiwillige Arbeit ist sehr wichtig für die Gesellschaft.|N|SCH|PRO||||
32|Andererseits kann ich auch verstehen, dass man wegen des eigenen Berufs nicht genügend Zeit für eine weitere Arbeit hat.|N|SCH|CON||||
33|Ich denke, vorallem junge Leute haben eigentlich genug Zeit in ihrer Freizeit um etwas wohltätiges zu absolvieren.|N|SCH|PRO||||
