Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||FAST|ABW
0|"An unserer Schule wird momentan zum Thema ""gesunde Ernährung"" diskutiert."|N|EIN|AHG||||
1|"Bei der Diskussion kam es zu Meinungsverschiedenheiten: ""Ich kaufe mir die Zutaten lieber Frisch."|N|EIN|AHG||||
2|Selberkochen ist besser als Fast Food.|J|HAU|TH1||||
3|"Das ist doch viel gesünder"""|N|HAU|PRO||||
4|Für dieses Argument spricht auf jeden Fall dafüt, dass es gesund ist frische Zutaten, wie zum Beispiel Gemüse, zu konsumieren,|N|HAU|PRO||||
5|da diese viele Nährstoffe enthalten,|N|HAU|PRO||||
6|die für unseren Körper super gesund sind.|N|HAU|PRO||||
7|Außerdem kommt es auch viel besser bei Gästen an, ein frisches und mit Liebe zubereitetes essen zu servieren, als irgendwelche Terinen lieblos zusammen zu mischen und auf den Tisch zu klatschen.|N|HAU|PRO||||
8|Ein außerdem starkes Argument ist, dass es viele schöne Erinnerungen hochbringen kann, Omas oder Mamas alte Rezepte zu kochen und mit seinen liebsten zu teilen.|N|HAU|PRO||||
9|"Eine Meinungsstarke Aussage die ein anderer Schüler getroffen hat war folgende: ""Ehe ich ewig am Herd stehe, nehme ich lieber die Fertigpizza"""|N|HAU|TH2||||
10|Für dieses Argument spricht vor allem die Gemütlichkeit,|N|HAU|CON||||
11|denn es ist viel Aufwendiger frisch zu kochen als mal zack eine Pizza in den Ofen zu schieben.|N|HAU|CON||||
12|Man muss verstehen können, dass nicht alle nach einem langen Tag Kraft und Motivation haben, sich stundenlang in die Küche zu stellen und zu kochen.|N|HAU|CON||||
13|Außerdem spart man auch eine jede menge Zeit, fast food zu bestellen.|N|HAU|CON||||
14|Ich persönlich bin der Meinung, dass es einerseits viel Spaß macht, frisch zu kochen,|N|SCH|PRO||||
15| es aber andererseits auch viel aufwendiger ist.|N|SCH|CON||||
16|Daher schlage ich vor, dass man so oft wie möglich versuchen sollte, frisch zu kochen,|N|SCH|ZTH||||
17|es aber auch okay ist, ab und zu eine Pizza zu bestellen.|N|SCH|CON||||
