Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|der Rettungseinsatz der Freiwilligen Feuerwehr|N|EIN|GLD||||
1|eine Ehrenamtliche Tat hat seine Vor-und Nachteile.|N|EIN|GLD||||
2|Lohnt es sich wirklich für Für  Kostenlos zu Arbeiten in seiner Freizeit, andererseits hat die Feuerwehr zu wenig Mitarbeiter, so dass es auch eine Freiwillige Feuerwehr gibt.|N|HAU|GLD||||
3|Da kann jeder der schon mal zur Feuerwehr gehen wollte, ohne praktische Erfahrung hingehen und sein Amt ausführen.|N|HAU|PRO||||
4|Wenn mann seinen Job richtig macht bekommt man viel Ansehen und ggf. Belohnungen.|N|HAU|PRO||||
5|Ein Ehrenamt hat Vorteile.|N|HAU|TH1||||
6|1. Wenn man in seiner Freizeit nicht weiss was man machen kann, kann man statdessen zur Feuerwehr gehen oder Altenheim|N|HAU|PRO||||
7|anstatt vor dem Bildschirm zu sitzen und sich Bilder von Affen anzusehen.|N|HAU|PRO||||
8|2. ein Vorteil wäre, dass man die Sachen ausprobieren kann die Ehrenamtlich sind wie Kindergärtner|N|HAU|PRO||||
9|und dann weiss man ob das was ist für sich und ob man da später für Geld Arbeiten würde.|N|HAU|PRO||||
10|3. Wenn man wirklich gut Arbeitet kann auch manchmal was für einen rausspringen wie ein Freipass zu einen Event beispielweise.|N|HAU|PRO||||
11|Ein Ehrenamt hat keine Vorteile.|N|HAU|TH2||||
12|1. Es würde einen seine Freizeit berauben,|N|HAU|CON||||
13|weil man onehin schon zu wenig Zeit hat,|N|HAU|CON||||
14|hätte mann keine Zeit mehr für sich.|N|HAU|CON||||
15|2. Man kriegt kein Geld für seine Arbeit,|N|HAU|CON||||
16|obwohl man seine wertvolle Zeit dafür geopfert hat.|N|HAU|CON||||
17|Persöhnliche Meinung:|N|HAU|GLD||||
18|ich finde man sollte schon was Ehrenamtliches machen, wenn man viel Freizeit hat.|N|SCH|ZTH||||
19|Aber wenn man nicht will muss man auch nicht,|N|SCH|SON||||
20|aber es wäre schon gut was zu machen wenn man kann.|N|SCH|ZTH||||
