Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||BOOK|ABW
0|Genauso wie ich müssen jeden Tag viele Schüler in die Schule.|N|EIN|AHG||||
1|Wir schreiben mit, aber lesen auch sehr viel in unseren Schulbüchern.|N|EIN|AHG||||
2|Jetzt ist die Frage sollte man statt Büchern E-Books einführen.|N|HAU|TH1||||
3|Für E-Books würde sprechen, dass man nicht mehr so viele Bücher mit sich rum tragen müsste.|N|HAU|PRO||||
4|Je mehr Fächer man hat desto mehr Bücher muss man meistens mitnehmen.|N|HAU|PRO||||
5|Außerdem kann man in den gelienden Büchern der Schule nicht makieren oder Anmerkungen schreiben,|N|HAU|PRO||||
6|dass könnte man am E-Book jedoch tun.|N|HAU|PRO||||
7|E-Books sind viel handlicher als große oder dicke Bücher.|N|HAU|PRO||||
8|E-Books sollten nicht eingeführt werden.|J|HAU|TH2||||
9|Jedoch könnte man das Gefühl vermissen eine Seite umzublättern.|N|HAU|CON||||
10|Außerdem spricht für das Buch das man den Großteil der Bücher von der Schule geliehen bekommt|N|HAU|CON||||
11|und so kein Geld für das E-Book und die Bücher die man sich runterlanden muss ausgeben muss.|N|HAU|CON||||
12|Außerdem könnten die Kinder durch die elektrischen Geräte abgelenkt werden|N|HAU|CON||||
13|oder ein E-Book geht kapput.|N|HAU|CON||||
14|Ich bin jedoch troz der genanten Punkte fürs E-Book.|N|SCH|ZTH||||
15|Ich persönlich kriege von der schweren Mappe Rückenschmerzen.|N|SCH|PRO||||
16|Ein E-Book passt auch viel besser in einen Rucksack als mehrere Bücher|N|SCH|PRO||||
17|und wenn man Angst hat es geht kaputt, kann man eine Hßülle drum machen.|N|SCH|PRO||||
18|Viele Punkte sprechen fürs E-Book|N|SCH|ZTH||||
19|und da wir in eiem modernen Zeitalter leben ist es warscheinlich normal auf E-Books umzuspringen.|N|SCH|PRO||||
20|Ich Empfehle es, weil es den Altag in vielen Punkten vereinfacht.|N|SCH|ZTH||||
21|weil es den Altag in vielen Punkten vereinfacht.|N|SCH|PRO||||
