Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|UEN
0|Ihr kennt sie warscheinlich alle unser Retter in der Not natürlich ist es die Feuerwehr.|N|EIN|SON||||
1|Aber kennt ihr auch die freiwillige Feuerwehr diese Arbeiten ohne Geld zu kriegen und darüber reden wir heute darüber|N|EIN|GLD||||
2|"""Ist es ""gut"" ehrenamtlich zu Arbeiten oder sollte man eher die bezahlte Arbeit nehmen?"""|N|EIN|GLD||||
3|Ehrenamtliche Arbeit ist gut.|N|HAU|TH1||||
4|Man kann Menschen helfen|N|HAU|PRO||||
5|indem man sich z.B. bei der freiwilligen Feuerwehr anmeldet.|N|HAU|PRO||||
6|Damit schützt man nicht nur Menschen sondern z.B. auch Gebäude.|N|HAU|PRO||||
7|Da es einen Mangel von Arbeitskräften in diesem Bereich gibt (vorallem auf dem Dorf)|N|HAU|PRO||||
8|ist die freiwillige Feuerwehr fast ein muss für kleinere Städte oder Dörfer.|N|HAU|PRO||||
9|Man leistet etwas für die Gesellschaft|N|HAU|PRO||||
10|und darauf kann man Stolz sein.|N|HAU|PRO||||
11|Manche Menschen arbeiten z.B. in einem 3.Welt Laden (meist ältere Menschen)|N|HAU|PRO||||
12|wo sie Sachen verkaufen dieses Geld Sammeln|N|HAU|PRO||||
13|darauf kann man Stolz sein.|N|HAU|PRO||||
14|und darauf kann man Stolz sein.|N|HAU|PRO||||
15|Man kann im jungen alter schon erfahrungen Sammeln dies kann man z.B. bei der jugend Feuerwehr.|N|HAU|PRO||||
16|Damit kann man später villeicht doch schneller einen Job finden|N|HAU|PRO||||
17|da man ja schon erfahrungen hat (hilft natürlich besonders wenn man zur Feuerwehr/Polizei möchte).|N|HAU|PRO||||
18|Freiwillige Arbeit ist nicht gut bzw ist sinnlos.|N|HAU|TH2||||
19|Warum sollte man für etwas Arbeiten wofür man kein Geld kriegt wenn man doch einen ähnlichen Job machen kann und dort Geld verdienen kann.|N|HAU|CON||||
20|Wenn man z.B. bei der freiwilligen Feuerwehr arbeitet kann man doch auch gleich bei der richtigen Feueerwehr arbeiten|N|HAU|CON||||
21|dort würde man Geld verdienen|N|HAU|CON||||
22|und trotzdem Menschen helfen bzw sogar retten.|N|HAU|CON||||
23|Warum sollte ich arbeiten wenn mir eh kein Ruhm zusteht,|N|HAU|CON||||
24|warum sollte ich meine Zeit mit sowas verschwenden?|N|HAU|CON||||
25|"Wenn ich z.B. bei einem kleinen Laden bei mir in der Stadt arbeite was bringt mir das niemand wird später sagen ""Oh du hast aber 5 Jahre ehrenamtlich gearbeitet dich nehmen wir."""|N|HAU|CON||||
26|sowas würde nie passieren warum also die Zeit damit verschwenden.|N|HAU|CON||||
27|Ich persöhnlich denke das die ehrenamtlichen Jobs eine gute Sache sind|N|HAU|PRO||||
28|sie sind ja nicht verpflichtent.|N|HAU|PRO||||
29|Jeder kann also selber entscheiden ob er ehrenamtlich arbeiten würde oder nicht von daher sehe ich dort kein Problem.|N|SCH|ZTH||||
30|Für Leute denen es nur um das Geld geht für die wäre ehrenamtliches Arbeiten sinnlos da sie dort kein Geld verdienen.|N|SCH|SON||||
31|Leuten den es aber eher darum geht anderen Menschen zu helfen ohne dabei irgendetwas zu verlangen für die wäre das was.|N|SCH|SON||||
32|Das einzige was man dort villeicht kriegt wäre die Freude und die Anerkennung der Menschen denen man hilft manchen ist das genug den anderen wiederum nicht.|N|SCH|CON||||
33|Am Ende muss jeder selbst entscheiden was er machen möchte,|N|SCH|ZTH||||
34|aber wenn man in einem kleinen Dorf wohnt warum sollte man sich z.B. nicht bei der freiwillligen Feuerwehr anmelden|N|SCH|PRO||||
35|man findet neue Freunde|N|SCH|PRO||||
36|und man kann anderen Menschen helfen,|N|SCH|PRO||||
37|das ist doch etwas wunderbares.|N|SCH|PRO||||
