Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||FAST|UEN
0|Heutzutage gibt es sehr viele Fast Food Ketten, im Supermarkt können fertig gemachte Gerichte gekauft werden oder man kauft sich schnell was vom Imbiss.|N|EIN|WHG||||
1|Für einige Menschen ist das ein Lebensstandart.|N|EIN|WHG||||
2|In vielen Ländern, vor allem in Amerika ist eine bestimmte Fast Food Kette sehr beliebt.|N|EIN|WHG||||
3|Dabei handelt es sich um Mc Donald´s.|N|EIN|WHG||||
4|Ob das Essen, das gekauft wird und nicht selbstgemacht wird, immer gesund ist, wird nun erörtert.|N|EIN|GLD||||
5|Es stellt sich die Frage, ob sich der Aufwand lohnt, sich in die Küche zu stellen und ein leckeres Gericht zu Kochen.|N|EIN|GLD||||
6|Ich bin der meinung, dass es besser ist, wenn Zutaten frisch eingekauft werden und selbst gekocht wird.|N|HAU|TH1||||
7|Einige Argumente belegen meine Meinung.|N|HAU|GLD||||
8|Sehr wichtig zu sagen ist, dass vile Menschen an Adipositas leiden.|N|HAU|PRO||||
9|Durch viele Fette und andere ungesunde Lebensmittel besteht oft das Leiden an Übergewicht.|N|HAU|PRO||||
10|Läden, welche Fast Food verkaufen, wissen meistens selbst nicht genau was in iheren Produkten enthalten ist.|N|HAU|PRO||||
11|Selbst bei Getränken wird maßlos mit dem Zuckergehalt übertrieben.|N|HAU|PRO||||
12|Wie gerade erwähnt ist Mc Donald´s global verbreitet.|N|HAU|WHG||||
13|Vor einiger Zeit war eine Liste bestehend, welche verschiedenste Inhaltsstoffe angegeben hat. Diese wurde seid einiger Zeit abgeschafft.|N|HAU|PRO||||
14|Wobei viel ungesunde Stoffe von den Menschen fern gehalten werden.|N|HAU|CON||||
15|Des weiteren kann beim Einkaufen selbst entschieden werden, was in ein bestimmtes Gerichtzugefügt werden sollte oder nicht.|N|HAU|PRO||||
16|Dabei kann geziehlt auf die Qualität geachtet werden.|N|HAU|PRO||||
17|Fast Food ist besser als Selberkochen.|J|HAU|TH2||||
18|Ein Gegenargument ist, dass Fast Food sehr billig und bequem ist.|N|HAU|CON||||
19|Selber gekocht werden muss dabei ist nicht.|N|HAU|CON||||
20|Man muss ausschließlich zu seinem Lieblingsladen gehen und bestellen.|N|HAU|CON||||
21|unter zeitdruck sind viele gestresst und die Lust vergeht zum eigenen Kochen.|N|HAU|CON||||
22|Das Essen wird von anderer Hand zubereitet.|N|HAU|CON||||
23|Dabei ist wichtig, dass die Hygienemaßnahmen eventuell ebenfalls nicht eingehalten weden.|N|HAU|PRO||||
24|Die Mitarbeiter werden oft schlecht bezahlt.|N|HAU|PRO||||
25|So brauchen die Angestellten sich keine Mühe geben.|N|HAU|PRO||||
26|Jeder sollte selbst entscheiden, ob selbst gekocht werden soll oder man sich etwas kauft.|N|SCH|ZTH||||
27|Ich finde es gesünder, wenn in der eigenen Küche gekocht wird,|N|SCH|PRO||||
28|da ich mir nie sicher sein kann was in meinem bestellten Essen enthalten ist.|N|SCH|PRO||||
29|Es ist mir sehr wichtig die Zutaten selbst zu Kaufen.|N|SCH|PRO||||
30|Das konsumieren von Fast Food kann durchaus schädlich sein.|N|SCH|PRO||||
31|Jeder sollte sich darüber informieren und demnach eine Entscheidung treffen.|N|SCH|SON||||
32|Fertigpizzen oder andere Fertiggerichte schmecken sehr viel besser, wenn sie selbstgemacht sind.|N|SCH|PRO||||
33|"""Handmade"" ist doch doch zur heutigen Zeit sehr beliebt oder?"|N|SCH|PRO||||
