Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||BOOK|ABW
0|In der Schülerkonferenz wurde letztens gefragt ob wir unser Bücher auf E-Books umstellen sollten.|N|EIN|AHG||||
1|Dieser Frage möchte ich in meiner folgenden Erörterung nachgehen und und eine Antwort finden.|N|EIN|GLD||||
2|Bücher sollten nicht ersetzt werden|J|HAU|TH2||||
3|Als erstes gilt, das Bücher nicht aufgeaden werden müssen|N|HAU|CON||||
4|und dies somit auch kein Strom nimmt.|N|HAU|CON||||
5|Wenn ein Schüler beispielsweise sein E-Book vergisst aufzuladen, wird es schwer sich eins ausleihen zu können.|N|HAU|CON||||
6|Dazu kommt, dass E-Books teurer sind|N|HAU|CON||||
7|und falls eins kaputt gehen sollte hat man keine auf Vorrat.|N|HAU|CON||||
8|Ebenfalls kommt die Frage auf, wer das mit E-Books überhaupt bezahelen soll?|N|HAU|CON||||
9|Müssen die Eltern jedes Jahr auf´s neue um die 120 Euro bezahlten,|N|HAU|CON||||
10|denn E-Books haben nur eine begrenste Lebenszeit, Bücher nicht.|N|HAU|CON||||
11|E-Books sollten Bücher ersetzen.|J|HAU|TH1||||
12|Auf der anderen Seite ist aber sofort, das ins Auge stechende Gewicht der Bücher ins Auge.|N|HAU|PRO||||
13|Im gegensatz zu Büchern sind E-Books trage freundlich.|N|HAU|PRO||||
14|Ein Kind darf eigendlich nur das Zentel seines Körperegewichts im Alltag tragen, was mit Büchern definitiv nicht möglich ist.|N|HAU|PRO||||
15|Jeder erfährt dies Wohl im täglichen Leben.|N|HAU|PRO||||
16|Außerdem ist es leichter E-Books mit in den Unterricht mit einzubeziehen|N|HAU|PRO||||
17|da man digital auf ihnen schreiben und makieren kann.|N|HAU|PRO||||
18|Aufgaben müsseten nicht mehr auf extra Blätterm gemacht werden, sondern direkt im E-Book.|N|HAU|PRO||||
19|Damit kommen wir direkt zu letzten und größten Argument: Die Umwelt.|N|HAU|PRO||||
20|Mit E-Books müssten weniger Bäume, für Blätter, für Bücher abgeholzt werden.|N|HAU|PRO||||
21|Das würde der ganzen Welt gut tuen bei unseren Klimakathastrophren.|N|HAU|PRO||||
22|Beispielsweise werden im Jahr 500 Tonnen Papier allein in Deutschland für Bücher verbraucht, die wir uns so leicht ersparen könnten.|N|HAU|PRO||||
23|Im Fazit würde ich sagen, dass es nur sinnvoll wäre auf E-Books umzusteigen.|N|SCH|ZTH||||
24|Vielleicht könnte das etwas sein wofür unsrere Scule bekannt wird|N|SCH|PRO||||
25|und wir würden sicher noch mehr Schulen davon überzeugen, die umweltschonendere Variante des Buches zu wählen.|N|SCH|PRO||||
26|Ich hoffe ich konnte mit meinen Argumenten einige Menschen von meinem Standpunkt überzeugen.|N|SCH|SON||||
27|Denn so gehen wir mit der Zeit gemeinsam in die Zukunft.|N|SCH|SON||||
