Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|"Die Zeitschrift ""Forhang auf hat ein Disskusionfohrum für die Frage Errichtet ob Darstellendes Spiel als Pflichtfach ab der 7. Klasse eingeführt werden sollte."|N|EIN|WHG||||
1|In dieser Erörterung gehe ich einmal auf die Gründe für und gegen die Einführung des Faches Darstellendes Spiel als Pflichtfach ein.|N|EIN|GLD||||
2|Darstellendes Spiel sollte verpflichtend eingeführt werden.|J|HAU|TH2||||
3|Gründe für die Einführung des Faches Darstellendes Spiel als Pflichtfach sind zu einem, dass es ein relativ einfaches Fach ist|N|HAU|CON||||
4|und eine gute Abwechslung für die Schüler wäre.|N|HAU|CON||||
5|Es wäre aber auch nützlich für Schüler welche eine Schauspielkarriere anstreben.|N|HAU|CON||||
6|Darstellendes Spiel nicht eingeführt werden.|J|HAU|TH1||||
7|Gründe gegen die Einführung von Darstellendes Spiel als Pflichtfach sind zu einem, dass dieses FAch für einige Schüler zu langweilig wäre|N|HAU|PRO||||
8|und sie einfach nur desinteressiert herumsitzen würden.|N|HAU|PRO||||
9|Zu anderem haben aber andere Schüler auch Angst davor oder fühlen sich unwohl wenn sie auf der Bühne stehen und jeder ihnen zusieht.|N|HAU|PRO||||
10|Zu guter letzt ist diese FAch auch für alle Schüler welche keine Schauspielkariere anstreben komlett unnötg ist|N|HAU|PRO||||
11|was wiederrum der Großteil der Schüler ist.|N|HAU|PRO||||
12|Alles in allem würde ich sagen das das Fach Darstellendes Spiel nur als Wahlpflichtfach angeboten werden sollte und nicht als Pflichtfach.|N|SCH|ZTH||||
13|Mein Fazit ist, dass das Fach für die meisten Schüler absolut unnütz ist|N|SCH|PRO||||
14|und sie dies später nicht im Leben gebrauchen könnten.|N|SCH|PRO||||
