Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|Es wird diskutiert ob wir Darstellendes Spiel (Theater) am der 7. klasse verflichtet mach müssen.|N|EIN|AHG||||
1|In der 7. Klasse soll entschieden werden ob die Schüler Darstellendes spiel als pflicht fach haben sollten oder nicht.|N|EIN|AHG||||
2|Wahrscheinlich findet jeder Theater gut...|N|HAU|TH2||||
3|"""... Endlich kann ich zeigen was ich kann..."""|N|HAU|CON||||
4|(siehe oben) diese Perosn ist sehr für Theater interesiert|N|HAU|CON||||
5|und hat auch kein problem damit|N|HAU|CON||||
6|oder Viele haben Talente,|N|HAU|CON||||
7|z.B. du bist gut in Schauspielern|N|HAU|CON||||
8|und willst dieses Fach sehr gerne machen.|N|HAU|CON||||
9|Jedoch gibt es auch andere Seiten wie, Vielleicht ist es doch nicht so toll Menschen oder Schüler dafür zu zwingen.|N|HAU|TH1||||
10|"""... ich fühle mich auf der Bühne gar nicht wohl"""|N|HAU|PRO||||
11|(siehe oben) da sieht man das sich die Person gar nicht trauen würde auf der Bühne zu stehen.|N|HAU|PRO||||
12|Oder gar schüchtern ist|N|HAU|PRO||||
13|"und dann sich zum ""Affen"" macht."|N|HAU|PRO||||
14|Oder du hast wen Verloren, der Schauspieler war und möchtest nichts damit mehr zu tun haben,|N|HAU|PRO||||
15|und möchtest nichts damit mehr zu tun haben,|N|HAU|PRO||||
16|weil es dich an die Person erinnert.|N|HAU|PRO||||
17|Meine Meinung ist das wir niemanden zwingen sollen irgendwas zu machen und jeder selbst entscheiden sollte ob er Darstellendes Spiel wählt oder nicht.|N|SCH|ZTH||||
18|Mein Fazit ist das jeder sein eigenes Fach wählen sollte und niemand gezwungen werden sollte etwas zu tun was er gar nicht machen will.|N|SCH|ZTH||||
19|Und in Klasse 7 sollte Theater noch garnicht zur Debatte stehen.|N|SCH|PRO||||
