Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Im Rahmen des schulischen Unterrichtes haben wir eine Debatte geführt, diese drehte sich um folgende Frage.|N|EIN|AHG||||
1|Lohnt es sich ehrenamtliche Arbeit zu leisten?|N|EIN|GLD||||
2|Einige kamen zu dem Schluss, dass es sich nicht lohnt ehrenamtlich zu arbeiten.|N|HAU|TH2||||
3|Da es keine Bezahlung gibt|N|HAU|CON||||
4|obwohl viele Menschen ihre Zeit und Kraft aufwenden.|N|HAU|CON||||
5|Gegen ehrenamtliche Arbeit spricht auch das diese in den meisten Fällen sehr Kraft aufwendig ist.|N|HAU|CON||||
6|Wie die freiwillige Feuerwehr zum Beispiel die Feuerwehr kann jeder Zeit gerufen werden|N|HAU|CON||||
7|und die Helfer müssen schnell vor Ort sein.|N|HAU|CON||||
8|Das heißt wiederum dass sie sofort los müssen wenn sie informiert werden.|N|HAU|CON||||
9|Zudem ist ehrenamtliche Arbeit bei der freiwilligen Feuerwehr auch sehr risikoreich.|N|HAU|CON||||
10|Außerdem ist ehrenamtliche Arbeit oft sehr Zeit aufwendig.|N|HAU|CON||||
11|Dies schränkt die Arbeiter oft auch im eigenen Leben ein.|N|HAU|CON||||
12|So ist es bei der Feuerwehr zum Beispiel egal ob die Ehrenamtler beim Frisör oder der Arbeit sind sie müssen trotzdem sofort vor Ort sein.|N|HAU|CON||||
13|sie müssen trotzdem sofort vor Ort sein.|N|HAU|CON||||
14|Man sollte ein Ehrenamt ausführen. |J|HAU|TH1||||
15|Für ehrenamtliche Arbeit spricht jedoch, dass die Ehrenamtler sich beteiligen und helfen wo sie können und dies aus eigenem Willen.|N|HAU|PRO||||
16|und dies aus eigenem Willen.|N|HAU|PRO||||
17|So arbeiten sie also auch ohne jegliche Aussicht auf Bezahlung.|N|HAU|PRO||||
18|Die ehrenamtliche Arbeit hilft Menschen die es sich selbst nicht leisten können. Sowie die Arbeit in Obdachlosenunterkunften und Suppenküchen.|N|HAU|PRO||||
19|So nimmt man durch ehrenamtliche Arbeit auch mehr am gesellschaftlichen Leben teil.|N|HAU|PRO||||
20|In Dörfern leisten die Bewohner oft ehrenamtliche Arbeit|N|HAU|PRO||||
21|in dem sie dabei helfen das Dorf in Stand zu halten.|N|HAU|PRO||||
22|Ich selbst halte ehrenamtliche Arbeit für sinnvoll,|N|SCH|ZTH||||
23|da sie zeigt wer wirklich an einer Sachen teil haben möchte und wem es egal ist.|N|SCH|PRO||||
24|und wem es egal ist.|N|SCH|SON||||
25|Außerdem wage ich es zu behaupten das viele Brände ohne die freiwilligen Feuerwehren nicht gelöscht worden wären.|N|SCH|PRO||||
26|Als Fazit kann man sagen dass ehrenamtliche Arbeit zwar nicht bezahlt ist|N|SCH|CON||||
27|aber den Menschen die sich selbst nicht zu helfen wissen verdammt viel hilft.|N|SCH|PRO||||
28|Jedoch wäre es wichtig das die Menschen mehr in ehrenamtliche Organisationen investieren um diesen die Arbeit zu erleichtern und den Anteil der Ehrenamtler in unserer Gesellschaft zusteigern.|N|SCH|SON||||
