Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|UEN
0|Meine Klasse war am Mittwoch auf einem Wandertag, wir haben nicht nur schöne Wälder und Wiesen gesehen, sondern auch einen Rettungseinsatz.|N|EIN|AHG||||
1|Es war super spannend diesen zu Beobachten.|N|EIN|AHG||||
2|Es ging alles sehr schnell, aber irgendwie hatte alles seine Ordnung.|N|EIN|AHG||||
3|Unsere Klasse wollte helfen, aber natürlich kann man nicht einfach in einen Rettungseinsatz stürzen, also haben wir einen netten Mann gefragt wie man in so einer Situation helfen kann.|N|EIN|AHG||||
4|Er meinte dass das ehrenamliche Berufe sein und wir uns bei bestimmten Organisationen melden können um selbst ein Teil davon zusein.|N|EIN|AHG||||
5|Dass löste eine Diskusion in unserer Klasse aus.|N|EIN|AHG||||
6|Ich befasse mich damit in diesem Artikel.|N|EIN|GLD||||
7|Sollte man ein Ehrenamt ausüben?|N|HAU|TH1||||
8|Ich denke jeder Mensch hilft gerne und dann ist dass die perfekte Chance für einen.|N|HAU|PRO||||
9|Man kann Menschen in schwierigen Situationen helfen|N|HAU|PRO||||
10|und auf sich selber stolz sein.|N|HAU|PRO||||
11|Wenn man nachmittags zum Beispiel nichts zu tun hat, kann man einfach im benachtbarten Altersheim nachfragen ob man helfen kann.|N|HAU|PRO||||
12|So lernt man viele verschidene Berufe kennen, die einem bei der Entscheidung seines Lebensweges helfen können.|N|HAU|PRO||||
13|Natürlich hat der Beruf auch auf seiner Sozialenebene einen Sinn,|N|HAU|PRO||||
14|man lernt viele verschidene Menschen kenn, die man auch außerhalb des Berufes treffen kann.|N|HAU|PRO||||
15|So entstehen Freundschaften.|N|HAU|PRO||||
16|Man sollte kein Ehrenamt ausführen.|J|HAU|TH2||||
17|Man übt einen wichtigen Beruf aus, wie zum Beispiel Feuerwehrmann/frau,|N|HAU|PRO||||
18|dieser bennötigt viel Anspruch.|N|HAU|CON||||
19|Du musst oft erreichbar sein|N|HAU|CON||||
20|und jeder Zeit zum Unfallort kommen.|N|HAU|CON||||
21|Dass kann viel Druck auslösen.|N|HAU|CON||||
22|Ein Schüler vernachlässigt zum Beispiel dadurch die Schule, dass hat natürlich eine auswirkung auf seinen späteren Lebensweg.|N|HAU|CON||||
23|Außerdem hängen von einem Menschenleben ab.|N|HAU|CON||||
24|Wenn man mal zuspät zu einen Brannt kommt, dann kann es sein das man die Opfer nicht mehr Retten kann, dass kann zu phychischen Schäden führen.|N|HAU|CON||||
25|Man begibt sich dabei auch meisten selber in eine Gefahrenzonen|N|HAU|CON||||
26|und kann sich schwer verletzen.|N|HAU|CON||||
27|Für vollen Einsatz und die ausübung eines vollwertigen Berufes bekommt man am Ende des Tages, dann kein Geld.|N|HAU|CON||||
28|Dass kann Schwierigkeiten und Geldprobleme bei Menschen auslösen, die durch einen ehrenamtlichen Job nicht mehr soviel Zeit für ander Sachen haben.|N|HAU|CON||||
29|Ich find es ist toll das Menschen einen Ehrenamtlichen Beruf ausüben.|N|SCH|PRO||||
30|Vor diesen Personen habe ich großen Respekt.|N|SCH|PRO||||
31|Ich selber habe wenig Zeit, da ich noch in die Schule gehe und viel Sport treibe.|N|SCH|AHG||||
32|Vielleicht möchte ich es später mal machen.|N|SCH|AHG||||
33|Ich habe bis jetzt noch keine Klare Meinung darüber, aber ich halte mir Optionen offen.|N|SCH|ZTH||||
34|Es gibt viel und ausschlag gebene Argumente die gegen einen EHrenamtlichen Beruf sprechen.|N|SCH|CON||||
35|Dieser kann phychische Schäden, sowie Geldprobleme auslösen.|N|SCH|CON||||
36|Doch dieses Gefühl Leuten zu helfen und etwas in der Welt zu verändern kann man nicht beschreiben.|N|SCH|PRO||||
37|Doch am Ende sollte jeder für sich selber Entscheiden ob er Zeit und Lust hat einen ehrenamtlichen Beruf auszuüben.|N|SCH|ZTH||||
38|Wenn ihr Zeit habt, dann könnt ihr mal Überlegen ob ihr darauf lust habt.|N|SCH|ZTH||||
39|Denn jeder Mensch kann die Welt ein stück besser machen.|N|SCH|SON||||
