Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Ich habe neulich beobachtet, wie ein paar Ehrenamtliche Feuerwehr Männer bei einem Wanderungsweg einen einsatz hatten.|N|EIN|AHG||||
1|Mir fiel dabei auf, dass für diese Arbeit, welche diese Feuerwehrmänner ausgeführt haben, viel zu wenig waren.|N|EIN|AHG||||
2|"Aus diesem Grund habe icch mich dazu entschlossen darüber eine Erörterung über das Thema""Sollte man ein Ehrenamt ausführen"" zu schreiben."|N|EIN|GLD||||
3|Das Ehrenamt sollte eingeführt werden,|N|HAU|TH2||||
4|da sich so der Staat (Regierung) durch Presliche Kosten erholen kann|N|HAU|CON||||
5|weil die Personen nicht Bezahlt werden.|N|HAU|CON||||
6|So kann mehr Geld eingespart werden.|N|HAU|CON||||
7|Auch falls mal ein großer Einsatz sein sollte könnten mehr Ehrenamtliche Arbeiter sehr nützlich sein,|N|HAU|CON||||
8|da so auch mehr Personen geholfen werden könnte|N|HAU|CON||||
9|und die Arbeiter auch so ohne Geld ein gutes Gewissen bekommen könnten.|N|HAU|CON||||
10|Man kann ebenfalls sein wissen erweiten,|N|HAU|CON||||
11|wie schwer der Beruf eigendlich sein kann|N|HAU|CON||||
12|und man kann sein wissen erweiten, wie man am besten erste hilfe leistet.|N|HAU|CON||||
13|So kann man sich weiter bilden auch wenn man einen völlig anderen werdegang hatte.|N|HAU|CON||||
14|Man sollte kein Ehrenamt ausführen.|J|HAU|TH1||||
15|Das Ehrenamt sollte wie zuvor von den Personen die es wollen ausgeübt werden,|N|HAU|PRO||||
16|weil man in diesem Ehrenamtlichen Beruf kein Geld bekommt|N|HAU|PRO||||
17|und so für nichts einen sehr schweren Beruf ausführt.|N|HAU|PRO||||
18|Man setzt sich selbst einer gefahr aus um anderen Personen zu helfen|N|HAU|PRO||||
19|und dafür bekommt man keine Auszeichnung.|N|HAU|PRO||||
20|Man soll den Personen helfen obwohl es auch eine Beruflcihe Feuerwehr gibt die für so welche Einsätze bezahlt werden.|N|HAU|PRO||||
21|Nach meiner Meinung nach sollte es nicht öfter ausgeübt werden,|N|SCH|ZTH||||
22|weil man selbst als Person nichts davon hat und es für so eine Arbeit einen Bezahlten Beruf gibt.|N|SCH|PRO||||
23|und es für so eine Arbeit einen Bezahlten Beruf gibt.|N|SCH|PRO||||
24|Ich finde es trotzdem gut, das sich ein paar Personen trotz keines Geldes diesen Ehrenamtlichen Beruf ausüen.|N|SCH|CON||||
25|Die Argumente aus dieser Erörterung sprechen mehr gegen das ausüben des Ehrenamtlichen Berufes,|N|SCH|ZTH||||
26|da man als Person nichts davon hat.|N|SCH|PRO||||
27|Die Freiwelige Feuerwehr sollte beständig bleiben doch die Berufliche Feuerwehr sollte öfter ausgeübt werden.|N|SCH|SON||||
