Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||BOOK|EIN
0|In unserer Schülerkonferenz haben unsere Vertreter vorgeschlagen, den ganzen Buchbestand unserer Schule auf E-Books umzustellen.|N|EIN|AHG||||
1|Doch dort gab es Einsprüche und Bedenken.|N|EIN|AHG||||
2|Um Klarheit über das Thema zu verschaffen, möchte ich im Folgenden Hauptteil zu beiden Seiten argumentieren.|N|EIN|GLD||||
3|In der schule sollte man auf E-Books umsteigen,|N|HAU|ZTH||||
4|weil Papierbücher schlecht für die Umwelt sind.|N|HAU|PRO||||
5|Für papier werden jährlich viel zu viele Bäume gefällt, die das Co2-Problem Einhalt gebieten könnten.|N|HAU|PRO||||
6|Ein weitere Grund ist der Preis,|N|HAU|PRO||||
7|ein Papierbuch ist um mindestens zehn Euro teurer als ein e-Book.|N|HAU|PRO||||
8|In der Schule soll man auch öfters etwas in Büchern makieren, doch das stellt sich als schwierig herraus wenn das buch nur geliehen ist und nicht einem Selbst gehört.|N|HAU|PRO||||
9|Auf der anderen Seite sind E-Books auch viel praktischer als Bücher,|N|HAU|PRO||||
10|man kann damit im Dunkeln lesen, dass heißt wenn man noch etwas am Abend lernen will und keine Lust hat sich Licht an zu machen kann man trotzdem an Informationen kommen.|N|HAU|PRO||||
11|Ebenfalls braucht man sich hier keine Gedanken zu machen ob man nun reinmalen darf, um wichtige Dinge zu makieren oder nicht,|N|HAU|PRO||||
12|denn es ist höchstwarscheinlich dein eigens Buch.|N|HAU|PRO||||
13|Das größte Vorteil am E-Book ist aber, dass in einem handlichen Quader nicht nur 1 Buch vorhanden ist, sondern alle Bücher die man für die schule braucht.|N|HAU|PRO||||
14|So ist die mappe nicht schwer|N|HAU|PRO||||
15|und man hat trotzdem alles bei sich.|N|HAU|PRO||||
16|Meine persönliche Meinung und mein fazit zu dem Thema ist, dass man in der schule auf E-books umsteigen sollte,|N|SCH|ZTH||||
17|um uns Schülern einen gesunden Rücken zu schenken,|N|SCH|PRO||||
18|doch wir sollten trotzdem nicht vergessen, dass Papierbücher etwas sehr wertvolles und kulturel wichtige Dinge darstellen.|N|SCH|CON||||
19|Deshalb ist meine persönliche Emphelung, im Deutschunterricht vielleicht einmal in der Woche die Bibliothek zu besuchen oder andere Aktivitäten dort auszurichten.|N|SCH|SON||||
