Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Sollte man ein Ehrenamt ausüben?|N|EIN|GLD||||
1|Als ich letztens mit meiner Klasse, bei einem Wandertag war, haben wir einen Rettungseinsatz der freiwilligen Feuerwehr gesehen.|N|EIN|AHG||||
2|Wir haben uns gefragt ob es überhaupt nötig ist ob es ein freiwilliges Ehrenamt für solche Berufe gibt?|N|EIN|AHG||||
3|Es sollte kein Ehrenamt ausgeführt werden.|N|HAU|TH2||||
4|Andere Menschen werden dafür bezahlt|N|HAU|CON||||
5|und machen das um ihr Lebensunterhalt zu bezahlen.|N|HAU|CON||||
6|Es kann deshalb sein das diese Menschen sich dann unterschätzt fühlen, wenn andere ihren Beruf kostenlos in ihrer Freizeit absolvieren.|N|HAU|CON||||
7|Wenn z.B. bei einem Notfall die freiwillige Feuerwehr gerufen wird und nicht die richtige, kriegt die eigentlich zusändiege Feuerwehr keinen Auftrag mehr und damit auch kein Lohn.|N|HAU|CON||||
8|Es sollte ein Ehrenamt eingeführt werden.|N|HAU|TH1||||
9|Ich bin der Meinung das ein Ehrenamt eingefüht werden sollte,|N|HAU|TH1||||
10|weil wenn es zur Überlastung von manchen Berufen kommt, können die Ehrenämter ihnen unter die Arme greifen.|N|HAU|PRO||||
11|Zum Beispiel bei einem großen Feuerausbruch müssen viele Feuerwehrautos eingesetzt werden.|N|HAU|PRO||||
12|Wenn es dort aber nicht genügend gibt, kann die freiwillige Feuerwehr helfen.|N|HAU|PRO||||
13|Dazu ist es eine schöne Beschäftigung für die Freizeit. Wenn man wirklich mit großen Engagement und guten Absichten sich dafür einsetzt.|N|HAU|PRO||||
14|Wenn Personen anderen Personen z.B. in schlimmen Situationen helfen wollen ist es eine gute Idee sich für das Ehrenamt zu entscheiden.|N|HAU|PRO||||
15|Es ist auch ein Vorteil das man wenn man sich beim Ehrenamt anmeldet keine Ausbildung oder Studium für den bestimmten Beruf absolvieren muss.|N|HAU|PRO||||
16|Zwar wird man dann auch nicht dafür bezahlt|N|HAU|CON||||
17|aber es ist eine gute Unterstützung.|N|HAU|PRO||||
18|Manche Personen haben z.B. nicht so viel Zeit für eine Ausbildung und dann ist das Ehrenamt eine Gute Lösung.|N|HAU|PRO||||
19|Es ist auch ein Vorteil das man wenn man sich beim Ehrenamt anmeldet keine Ausbildung oder Studium für den bestimmten Beruf absolvieren muss.|N|HAU|PRO||||
20|Zwar wird man dann auch nicht dafür bezahlt|N|HAU|CON||||
21|aber es ist eine gute Unterstützung.|N|HAU|PRO||||
22|Manche Personen haben z.B. nicht so viel Zeit für eine Ausbildung und dann ist das Ehrenamt eine Gute Lösung.|N|HAU|PRO||||
23|Meine persönliche Meinung dazu ist das es praktisch wäre wenn es ein Ehrenamt geben würde, falls in Notsituationen Ünterstüzung gebraucht wird.|N|SCH|ZTH||||
24|Ich hatte mir die Frage gestellt ob es sinnvoll ist ein Ehrenamt auszüben.|N|SCH|AHG||||
25|Ich bin zu dem Entschluss gekommen das dies sehr sinnvoll wäre.|N|SCH|ZTH||||
26|Denn ich manchen Situationen braucht man diese Unterstützung|N|SCH|PRO||||
27|und dazu ist es Eine gute Beschäftiegung für die Freizeit.|N|SCH|PRO||||
