Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Bei meinem letzten Wandertag haben wir einen Rettungseinsatz der freiwilligen Feuerwehr beobachtet.|N|EIN|AHG||||
1|Daraufhin haben wir das Thema ehrenamtliche Arbeit in der Klasse diskutiert und es kamen verschiedene Ansichten darüber auf.|N|EIN|AHG||||
2|Man sollte kein Ehrenamt ausführen.|J|HAU|TH2||||
3|Einige meiner Mitschüler waren der Ansicht, dass das ungerecht wäre, wenn sie eine Arbeit machen, aus denen Andere profitieren, und selbst nichts bekommen.|N|HAU|CON||||
4|Sie haben gesagt, dass man, wenn man sich schon die Mühe macht bei den Menschen zu helfen, dann kann man auch angemessen dafür entlohnt werden.|N|HAU|CON||||
5|Man sollte ein Ehrenamt ausführen.|J|HAU|TH1||||
6|Eine andere Meinung war, dass man das nicht für sich selbst tut, sondern um Anderen zu helfen.|N|HAU|PRO||||
7|Der deutsche Staatsbürger ist verpflichtet Erste Hilfe zu leisten.|N|HAU|PRO||||
8|Wenn man also zum Beispiel mitbekmt, dass das Auto vor dir einen Unfall baut, dann wäre es eine Straftat es einfach zu ignorieren.|N|HAU|PRO||||
9|In diesem Fall musst du ihm helfen|N|HAU|PRO||||
10|und es wäre nicht anderes, als wenn du es ehrenamtlicht machen würdest.|N|HAU|PRO||||
11|Andere sagen, dass man das auf sich selbst beziehen muss.|N|HAU|PRO||||
12|Schließlich möchte man, wenn man selbst Hilfe braucht auch welche bekommen.|N|HAU|PRO||||
13|Wenn man also zum Beispiel in einem brennenden Haus festsitzt und es keine Feuerwehr geben würden, dann wäre man auf sich allein gestellt, um zu entkommen.|N|HAU|PRO||||
14|Dabei schaffen es etwa 99% nicht und sterben entweder durch eine Rauchvergiftung oder durch Verbrennungen.|N|HAU|PRO||||
15|Ich persönlich finde, dass ehrenamtliche Arbeit wichtig ist.|N|SCH|ZTH||||
16|Ich wäre stolz darauf, wenn ich Anderen Menschen helfen würde, auch wenn ich dafür nichts bekomme.|N|SCH|PRO||||
17|Es liegt ganz an der eigenen Einstellung, ob man anderen Menschen, oder vielleicht auch Tieren, helfen würde, auch ohne Bezahlung.|N|SCH|SON||||
18|Außerdem kann man diese Arbeit später als festen Beruf machen, wenn man unbedingt an dem Geld interressiert wäre.|N|SCH|PRO||||
19|Ich empfehle ehrenamtliche Arbeit wenigstens einmal in Erwägung zu ziehen.|N|SCH|ZTH||||
20|Damit wäre möglicherweise einigen Menschen geholfen.|N|SCH|PRO||||
