Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||FAST|ABW
0|In der Klasse kam das Thema, welches unser Lieblingsessen ist, oft auf.|N|EIN|AHG||||
1|Viele sagten Pizza oder Burger dabei viel uns dann auf ,dass fast alle Fast Food bevorzugen.|N|EIN|AHG||||
2|"Die Zeitschrift ""Der kleine Gourmet"" ist sehr interessiert an unseren Ergebnissen."|N|EIN|AHG||||
3|Um einmal alle positiven und negativen Aspekte von Fast Food und selbst gekochtem Essen zusammenzufassen habe ich mich dazu entschieden dazu einen Artikel zu schreiben.|N|EIN|GLD||||
4|"Es geht mir aber vorallem um Aufklärung und darum dass sich am Ende alle eine Meinung zu dem Thema ..Fast Food oder selbst kochen?"" machen, können."|N|EIN|GLD||||
5|Fast Food ist besser als selber zu kochen.|J|HAU|TH2||||
6|Auf der einen Seite steht die These, Fast Food kann ich mir einfach schnell machen.|N|HAU|CON||||
7|Das stimmt an sich, mit Fast Food hat man keinen langen Stress etwas zu kochen.|N|HAU|CON||||
8|Und wenn man nicht kochen kann oder gerade nicht viel Zeit hat kann man sich einfach eine Pizza bestellen oder Tiefkühlpizza aufbacken.|N|HAU|CON||||
9|Das ist aber nicht das einzig gute an Fast Food, man kann sich nämlich bei Bestellungen auch Dinge aussuchen die man selbst nicht kochen kann.|N|HAU|CON||||
10|Eine Tiefkühlpizza kostet vielleicht 3€ und ein Burger 8€, was ein sehr guter Preis ist für das was man bekommt.|N|HAU|CON||||
11|Das heißt man bekommt gutes Essen, schnell und einfach, für einen guten Preis.|N|HAU|CON||||
12|Selber zu kochen ist besser als Fast Food.|J|HAU|TH1||||
13|Bei selbstgekochtem Essen ist es aber nunmal so das man genau weiß was drin ist.|N|HAU|PRO||||
14|Wer das behauptet, hat nicht Unrecht.|N|HAU|SON||||
15|Man kann sich selbst frische Zutaten raussuchen und damit kochen.|N|HAU|PRO||||
16|Allerdings verliert diese Aussage auch ein wenig an Wirkung sobald man zum Beispiel fertige Tomatensoße nimmt.|N|HAU|CON||||
17|Preislich gesehen ist es dann aber etwas teurer.|N|HAU|CON||||
18|Im Vergleich kostet eine selbstgemachte Pizza mit eigenem Teig und Zutaten mehr als eine fetig gekaufte.|N|HAU|CON||||
19|Es macht außerdem auch mehr aufwand|N|HAU|CON||||
20|aber wenn man kochen mag, ist es eine Tätigkeit der man gerne nachgeht|N|HAU|PRO||||
21|und wobei man auch Spaß haben kann.|N|HAU|PRO||||
22|Eine Sache die bei Fast Food auf jeden Fall zu kritisieren ist, sind die Inhaltsstoffe.|N|HAU|PRO||||
23|Es kommt häufig vor das man gar nicht wirklich weiß was in seinem Essen drin ist.|N|HAU|PRO||||
24|Fast Food wird häufig auf Masse produziert, was bedeutet das nunmal nicht die hochwertigsten Tomaten verwendet werden.|N|HAU|PRO||||
25|Wenn man eine Pizza oder einen Burger bestellt, triefen diese förmlich vor Fett|N|HAU|PRO||||
26|und meistens ist einiges an Zucker enthalten was uns gar nicht bewusst ist.|N|HAU|PRO||||
27|Häufig werden Lebensmittel dann ersetzt durch Farb und Geschmacksstoffe.|N|HAU|PRO||||
28|Jedes Mal wenn jemand sich Essen bestellt, oder eine verpackte Tiefkühlware kauft, entsteht Müll.|N|HAU|PRO||||
29|Müll welcher aber nicht notwendig ist,|N|HAU|PRO||||
30|da beim selber kochen man auf Verpackungen verzichten kann.|N|HAU|PRO||||
31|Es entsteht nicht nur Müll sondern auch Abgase|N|HAU|PRO||||
32|weil jemand das Essen auch zu dir bringen muss.|N|HAU|PRO||||
33|Meine Meinung zu dem Thema ist, es ist gesünder selber zu kochen und noch dazu umweltfreundlicher.|N|SCH|ZTH||||
34|Es gibt kein richtig oder falsch, wenn man nunmal keinen Spaß am kochen hat oder keine Zeit in der Küche zu stehen, bietet sich FastFood nunmal an.|N|SCH|CON||||
35|Überwiegend gibt es mehr Argumente gegen das Fast Food als dafür.|N|SCH|ZTH||||
36|Die Qualität und der Nährwert beim selbst gekochten Essen ist einfach höher|N|SCH|PRO||||
37|aber für Momente wenn es schnell gehen muss und wenn es einem an der Fähigkeit zu kochen magelt, ist das Fast Food eine gute Option.|N|SCH|CON||||
38|Am besten ist es wenn man sich überwiegened von selbst gekochtem Essen, bei welchem man nachvollziehen kann was drin ist, ernährt.|N|SCH|ZTH||||
39|Es ist jedoch nichts verwerflich an ein oder zwei Mal die Woche Fast Food essen.|N|SCH|CON||||
40|Es kommt immer daruf an was für Fast Food und woher.|N|SCH|CON||||
41|Man darf es nur nicht zur Gewohnheit werden lassen sich immmer wieder nur von fast Food zu ernähren,|N|SCH|PRO||||
42|weil man sonst schnell wichtige Bestandteile der Ernährung nicht ausreichend bekommt und viel zu viel Fett.|N|SCH|PRO||||
43|Ich hoffe alle können sich nun eine Meinung zu dem Thema bilden.|N|SCH|SON||||
