Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|Neulich kam es zu einer Diskussion, ob das Fach darstellendes Spiel in allen Schulen verpflichtend ab der 7 Klasse eingeführt werden sollte.|N|EIN|AHG||||
1|Viele waren schonmal auf einer Schulaufführung, wo die Theater AG Ihre Ergebnisse vorgestellt hat.|N|EIN|AHG||||
2|An manchen Schulen gibt es keine Theater AGs, sondern ein Schulfach namens Darstellendes Spiel oder kurz DS.|N|EIN|WHG||||
3|Die Frage ist also sollte das Fach Darstellendes Spiel in allen Schulen verpflichtet ab der 7 Klasse eingeführt werden?|N|EIN|GLD||||
4|In dieser Debatte gibt es zwei Seiten.|N|EIN|GLD||||
5|Ein wichtiger Positiver Aspekt ist die Abwechslung im Schulalltag,|N|HAU|CON||||
6|denn die Schüler Langweilen sich schnell, wenn es immer nur dieselben Fächer mit demselben Langweiligen Stoff ist.|N|HAU|CON||||
7|Beispielsweise Mathe es wird etwas erklärt und dann werden Aufgaben gestellt, die man lösen muss.|N|HAU|CON||||
8|Deshalb ist die Einführung des Faches Darstellendes Spiel so wichtig.|N|HAU|CON||||
9|Ein weiterer Positiver Aspekt ist das Talente entdeckt werden können, die unter normalen Umständen nicht genutzt worden wären.|N|HAU|CON||||
10|Es kann ja zum Beispiel passieren das jemand später ein berühmter Schauspieler wird|N|HAU|CON||||
11|nur weil er dieses Fach in der Schule hatte.|N|HAU|CON||||
12|Außerdem fördert es das Selbstbewusstsein, Kreativität, Körpersprache und die Ausdrucksweise.|N|HAU|CON||||
13|Was einem Später zum Beispiel in einem Beruf helfen könnte.|N|HAU|CON||||
14|Und deshalb sollte das Fach Darstellendes Spiel an Schulen eingeführt werden.|N|HAU|TH2||||
15|Darstellendes Spiel sollte nicht an Schulen eingeführt werden|J|HAU|TH1||||
16|Ein Argument gegen die Einführung ist das man zusätzlich Texte auswendig lernen muss|N|HAU|PRO||||
17|dadurch hat man weniger Zeit für andere Schulfächer|N|HAU|PRO||||
18|und das hat zufolge das man schlechtere Noten bekommt.|N|HAU|PRO||||
19|Außerdem wird muss neue teure Theaterausstattung gekauft werden|N|HAU|PRO||||
20|und neues Personal muss eingestellt werden|N|HAU|PRO||||
21|da das für den Unterricht benötigt wird.|N|HAU|PRO||||
22|Das ist sehr kostspielig und wo sollten die Schulen das extra Geld herbekommen.|N|HAU|PRO||||
23|Zudem könnte es zu einer Ausgrenzung Unbegabter kommen.|N|HAU|PRO||||
24|Ich bin gegen die Einführung da jeder andere Interessen hat und sich nicht jeder für Schauspielerei interessiert.|N|SCH|ZTH||||
25|Wenn sollte man es für Freiwillige einführen.|N|SCH|ZTH||||
26|Jeder sollte selbst entscheiden, ob er an diesem Schulfach Interesse hat, und man sollte es nicht Verpflichten.|N|SCH|ZTH||||
