Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|"Die Zeitschrift ""Vorhang auf!"" hat ein Diskussionsportal eingerichtet, in dem man über die Frage, ob Theaterunterricht verpflichtend eingefürt werden sollte, diskutieren soll."|N|EIN|WHG||||
1|In einigen Bundesländern wird derzeit dikutiert, ob das Fach Darstellendes Spiel (Theaterunterricht) für alle Schüler ab der 7. Klassenstufe verpflichtend eingeführt weden sollte.|N|EIN|WHG||||
2|Manche Menschen meinen, dass Darstellendes Spiel (Theaterunterricht) verpflichtend eingeführt werden soll.|N|HAU|TH2||||
3|Sie begründen ihre Meinung damit, dass die Schüler eine leichte Chance bekommen, gute Noten zu sammeln,|N|HAU|CON||||
4|damit ihr Notendurchschnitt verbessert wird.|N|HAU|CON||||
5|Max Mustermann hat auf dem letzten Zeugnis einen Notendurchschnitt von 3,4.|N|HAU|CON||||
6|Mit einer 2 in Darstellendes Spiel würde er seinen Notendurchschnitt verbessern.|N|HAU|CON||||
7|Dadurch könnte er vielleicht sogar einen besseren Abschluss erreichen.|N|HAU|CON||||
8|Dass Schüler daduch leicht gute Noten bekommnen, ist nicht das einzige Argument der Befürworter.|N|HAU|GLD||||
9|Sie meinen, dass der Theaterunterricht vielen Schülern Spaß machen würde.|N|HAU|CON||||
10|Dadurch, dass der Theaterunterricht Martin wie ein Hobby gefällt, muss er nicht mehr in einen Theaterverein gehen, der 20€ im Monat kosten würde.|N|HAU|CON||||
11|Das spart den Eltern von Martin Geld.|N|HAU|CON||||
12|Das letzte, aber dennoch ernst zu nehmende Argument der Befürworter ist, dass der Unterricht Darstellendes Spiel dabei helfen kann, dass Schüler nicht mehr Angst vor vielen Menschen haben, die ihnen zuschauen.|N|HAU|CON||||
13|Das hilft ihnen in ihrem späteren Berufsleben vielleicht weiter.|N|HAU|CON||||
14|Erika Musterfrau arbeitet zurzeit bei der Staatsanwaltschaft.|N|HAU|CON||||
15|Nach einem schweren Verbrechen, wird sie aufgefordert mit einem Journalisten ein Interview zu halten.|N|HAU|CON||||
16|Wegen des Theaterunterrichts, traut sie sich dieses Interview zu geben.|N|HAU|CON||||
17|Damals hat sie gelernt, wie man mit viel Aufmerksamkeit umgeht.|N|HAU|CON||||
18|Allerdings gibt es auch Menschen, die Darstellendes Spiel (Theaterunterricht) nicht verpflichtend einführen wollen.|N|HAU|TH1||||
19|Sie sagen, dass einige Schüler sich auf einer Bühne nicht wohlfühlen.|N|HAU|PRO||||
20|Friedrich hat Lampenfieber|N|HAU|PRO||||
21|und verabscheut es, auf der Bühne stehen zu müssen.|N|HAU|PRO||||
22|Die vielen Augen, die auf ihn gerichtet sind, machen ihn nervös.|N|HAU|PRO||||
23|Vielleicht schwänzt Friedrich an einem Tag die Schule,|N|HAU|PRO||||
24|weil er der Situation entgehen möchte.|N|HAU|PRO||||
25|Viele Gegner begründen ihre Meinung auußerdem damit, dass der Unterricht zu zusätzlichen Kosten führt.|N|HAU|PRO||||
26|Durch den Unterricht müssen beispielsweise neue Räume gebaut werden|N|HAU|PRO||||
27|und mehr Lehrkräfte angestellt werden.|N|HAU|PRO||||
28|Das kostet den Staat zusätzlich viel Geld.|N|HAU|PRO||||
29|Das dritte und letzte Argument der Gegner ist, dass Schüler länger in der Schule bleiben müssen,|N|HAU|PRO||||
30|weil der Theaterunterricht zusätzlich eingeführt wird.|N|HAU|PRO||||
31|Angela hat durch die Schule schon wenig Freizeit.|N|HAU|PRO||||
32|Durch den Theaterunterricht kann sie nicht mehr in ihrem Tennisverein spielen,|N|HAU|PRO||||
33|weil ihr dafür die Zeit fehlt.|N|HAU|PRO||||
34|Ich denke, dass der Theaterunterricht nicht verpflichtend eingeführt werden sollte.|N|SCH|ZTH||||
35|Zwar kann der Theaterunterricht Menschen helfen, mit viel Aufmerksamkeit umzugehen,|N|SCH|CON||||
36|jedoch benötigen dies nicht alle Schüler.|N|SCH|PRO||||
37|Der Theaterunterricht könnte auch freiwillig für die Schüler eingeführt werden.|N|SCH|SON||||
38|Dadurch wird niemand, der nicht möchte, gezwungen, an dem Theaterunterricht teilzunehmen.|N|SCH|SON||||
