Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||VOLU|ABW
0|Sollte man ein Ehrenamt ausführen oder nicht? dies haben meine Klassenkamerdaden und ich gemeinsam dikutiert.|N|EIN|AHG||||
1|In dieser Erörterung werde ich eucht PRO und CONTRA Argumente zu diesem Thema sagen.|N|EIN|GLD||||
2|Man sollte ein Ehrenamt ausführen.|J|HAU|TH2||||
3|Das erste Argument ist das man Mensch und Tier helfen kann.|N|HAU|CON||||
4|In einer Küche für Obdachlose zum Beispiel. Dort kann als Freiwilliger arbeiten und den Obdachlosen Menschen Essen kochen und ausgeben.|N|HAU|CON||||
5|Ein weiters starkes Argument dafür ist dass viele so eine Vorbildfunktion bekommt,|N|HAU|CON||||
6|denn wenn man Mutter oder Vater ist, oder auch kleine Geschwister hat reicht es schon aus wenn man als Ehrenamtler arbeitet.|N|HAU|CON||||
7|Denn so kann man die kleinen vielleicht auch schon auf die Idee bringe sich zu überlegen ob rs nicht gut wäre eine Ehrenamtliche Arbeit auszuführen.|N|HAU|CON||||
8|Das letzte der pro Argumente ist das der ein oder andere ein stärkeres Selbstwert Gefühl entwikelt,|N|HAU|CON||||
9|also das man sich selber so wie man ist akzeptiert|N|HAU|CON||||
10|da man sich du diese Arbeit besser fühlt.|N|HAU|CON||||
11|Nun zu den Contra Argumenten.|N|HAU|TH1||||
12|Als aller erstes ist schonmal ein Punkt gegen die Ehrenamtliche Arbeit, dass man als Ehrenamtler kein Geld verdient.|N|HAU|PRO||||
13|Man verdient nicht das Geld was andere für die gleiche anstrengende Arbeit bekommen.|N|HAU|PRO||||
14|Und meiner Meinug nach ist es auch nicht gut eine Ehrenamtliche Arbeit auszuführen,|N|SCH|ZTH||||
15|da viele das Geld brauchen was sie eigentlich bekommen würden|N|SCH|PRO||||
16|und so doch darauf verzichten müssen.|N|SCH|PRO||||
17|ich kann nur empfehlen es einmal auszuprobieren aber muss man nicht.|N|SCH|SON||||
